DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,-1.734693877551021,2.4367346938775505,-16.1,13.700000000000001,16.20408163265306,1,1
2,-1.9306122448979581,2.5591836734693874,-13.4,13.5,18.346938775510203,1,2
3,-1.7428571428571424,2.1408163265306124,-12.700000000000001,9.200000000000001,23.755102040816325,1,3
4,-1.9448979591836735,1.8469387755102045,-12.8,9.8,28.877551020408163,1,4
5,-1.916326530612244,2.4714285714285715,-14.0,14.4,22.714285714285715,1,5
6,-1.2510204081632657,2.5163265306122446,-14.4,12.9,10.612244897959183,1,6
7,-1.2836734693877552,2.538775510204082,-16.2,11.700000000000001,11.46938775510204,1,7
8,-1.436734693877551,2.0081632653061225,-15.600000000000001,11.200000000000001,15.591836734693878,1,8
9,-1.4530612244897956,2.4306122448979592,-14.4,11.5,14.428571428571429,1,9
10,-1.4469387755102046,2.714285714285715,-12.8,12.5,16.06122448979592,1,10
11,-1.1795918367346938,2.99795918367347,-17.0,11.0,14.959183673469388,1,11
12,-1.387755102040817,2.657142857142858,-17.8,12.0,10.89795918367347,1,12
13,-1.4448979591836735,3.169387755102042,-18.400000000000002,11.8,12.387755102040817,1,13
14,-1.7571428571428576,2.8244897959183675,-15.0,12.5,8.73469387755102,1,14
15,-1.8734693877551016,2.0408163265306123,-15.200000000000001,10.600000000000001,11.877551020408163,1,15
16,-1.5428571428571436,2.559183673469387,-14.3,11.100000000000001,13.387755102040817,1,16
17,-1.6448979591836737,2.657142857142857,-12.0,10.700000000000001,13.346938775510203,1,17
18,-2.0673469387755103,2.004081632653061,-12.4,10.8,14.938775510204081,1,18
19,-2.142857142857142,1.5897959183673473,-10.3,10.9,13.979591836734693,1,19
20,-1.8061224489795922,2.0938775510204093,-9.8,10.700000000000001,14.959183673469388,1,20
21,-1.9306122448979595,1.8081632653061226,-10.0,10.3,9.551020408163266,1,21
22,-2.0346938775510197,2.279591836734694,-8.6,8.5,20.612244897959183,1,22
23,-1.5938775510204086,2.1775510204081634,-10.700000000000001,9.8,16.959183673469386,1,23
24,-1.867346938775511,1.9142857142857137,-11.200000000000001,11.100000000000001,16.163265306122447,1,24
25,-2.0163265306122446,2.2551020408163267,-10.3,14.0,19.489795918367346,1,25
26,-2.5673469387755103,1.7285714285714293,-10.0,11.100000000000001,20.20408163265306,1,26
27,-1.975510204081632,1.9428571428571426,-10.700000000000001,12.0,15.081632653061224,1,27
28,-1.8346938775510209,2.53265306122449,-8.5,10.4,14.224489795918368,1,28
29,-1.7469387755102042,2.2959183673469394,-11.4,11.700000000000001,13.224489795918368,1,29
30,-2.3795918367346944,2.095918367346939,-14.100000000000001,12.8,13.693877551020408,1,30
31,-2.473469387755102,1.8306122448979592,-13.5,11.100000000000001,7.714285714285714,1,31
32,-2.185714285714286,2.273469387755102,-12.4,9.8,14.061224489795919,2,1
33,-1.6714285714285715,3.0673469387755103,-14.0,15.100000000000001,16.877551020408163,2,2
34,-1.406122448979592,2.9163265306122454,-15.3,15.9,14.551020408163266,2,3
35,-1.4183673469387752,3.3938775510204082,-14.100000000000001,11.700000000000001,13.387755102040817,2,4
36,-1.0591836734693876,3.5693877551020408,-15.5,12.600000000000001,21.0,2,5
37,-0.7632653061224491,3.5673469387755103,-14.600000000000001,15.0,16.46938775510204,2,6
38,-1.1571428571428573,3.3285714285714283,-16.5,12.5,11.081632653061224,2,7
39,-1.4367346938775518,3.2102040816326523,-14.5,13.9,20.959183673469386,2,8
40,-1.7265306122448982,3.2755102040816326,-17.2,11.4,23.183673469387756,2,9
41,-1.853061224489796,2.5959183673469393,-14.0,12.9,20.040816326530614,2,10
42,-1.6061224489795922,2.569387755102041,-15.700000000000001,13.700000000000001,13.489795918367347,2,11
43,-1.7693877551020405,2.6999999999999997,-16.7,12.700000000000001,17.979591836734695,2,12
44,-2.2673469387755096,2.8469387755102047,-14.600000000000001,11.4,22.755102040816325,2,13
45,-2.3204081632653057,2.628571428571429,-10.9,14.9,17.040816326530614,2,14
