PERIOD_START,YEAR,MONTH,TMIN_P10,TMIN_P90,TMIN_MIN,TMIN_MAX,TMIN_SUM,TMAX_P10,TMAX_P90,TMAX_MIN,TMAX_MAX,TMAX_SUM,PRCP_P10,PRCP_P90,PRCP_MIN,PRCP_MAX,PRCP_SUM,TMIN_ENTRY_COUNT,TMAX_ENTRY_COUNT,PRCP_ENTRY_COUNT
1994-01-01,1994,1,,,,,,26.90,31.80,24.40,32.40,646.90,,,,,,,22,
1994-02-01,1994,2,,,,,,29.00,32.10,27.10,33.00,677.20,,,,,,,22,
1994-05-01,1994,5,,,,,,31.40,34.00,27.80,34.70,715.20,,,,,,,22,
1994-10-01,1994,10,,,,,,28.50,32.70,26.60,33.70,746.80,,,,,,,24,
1995-04-01,1995,4,22.40,23.20,22.30,23.40,523.30,30.70,34.00,29.50,34.80,683.80,,,,,,23,21,
1995-06-01,1995,6,,,,,,31.50,34.20,28.10,35.00,726.50,,,,,,,22,
1995-08-01,1995,8,21.30,23.00,21.00,23.40,561.40,,,,,,,,,,,25,,
1995-09-01,1995,9,22.40,23.20,22.00,23.20,546.70,30.50,34.00,29.00,34.70,839.20,,,,,,24,26,
1995-10-01,1995,10,,,,,,29.20,34.00,26.80,34.30,740.70,,,,,,,23,
1995-11-01,1995,11,,,,,,29.40,33.20,26.60,34.00,665.40,,,,,,,21,
1996-02-01,1996,2,,,,,,26.80,31.60,25.40,31.60,616.10,,,,,,,21,
1996-05-01,1996,5,22.00,23.20,22.00,23.20,543.30,,,,,,,,,,,24,,
1996-10-01,1996,10,21.50,23.00,21.50,23.20,535.00,29.40,32.50,26.00,33.10,743.30,,,,,,24,24,
1996-11-01,1996,11,21.00,23.00,18.40,23.00,532.20,30.50,32.80,29.50,33.50,758.80,,,,,,24,24,
1997-02-01,1997,2,20.40,22.40,20.20,23.20,520.40,27.40,32.80,25.60,33.20,759.50,,,,,,24,25,
1997-03-01,1997,3,,,,,,31.20,33.40,29.80,33.90,743.70,,,,,,,23,
1997-04-01,1997,4,21.00,23.40,19.40,23.70,552.70,30.00,33.20,28.70,33.40,804.00,,,,,,25,25,
1997-05-01,1997,5,22.50,23.50,21.30,24.20,666.80,32.20,34.40,30.90,35.00,863.60,,,,,,29,26,
1997-06-01,1997,6,22.00,23.30,20.00,23.70,540.70,31.50,33.90,30.80,34.70,721.10,,,,,,24,22,
1997-07-01,1997,7,21.50,23.80,20.00,24.50,519.90,28.70,33.60,28.00,34.20,929.10,,,,,,23,29,
1997-08-01,1997,8,22.40,24.00,22.00,24.10,600.20,32.60,34.70,28.80,35.20,868.20,,,,,,26,26,
1997-09-01,1997,9,21.70,23.50,21.30,23.90,591.50,28.50,32.80,26.30,32.90,773.50,,,,,,26,25,
1997-10-01,1997,10,22.20,23.40,21.00,23.70,568.70,30.00,32.80,28.80,33.10,693.40,,,,,,25,22,
1998-02-01,1998,2,,,,,,29.00,32.50,26.80,33.20,714.40,,,,,,,23,
1998-03-01,1998,3,22.80,24.00,22.20,25.40,609.00,30.20,32.30,28.40,34.00,847.50,,,,,,26,27,
1998-04-01,1998,4,22.60,24.80,22.00,25.00,568.40,29.50,32.70,28.40,33.20,663.80,,,,,,24,21,
1998-05-01,1998,5,23.00,25.60,22.10,26.00,626.20,31.30,34.10,29.00,35.00,781.70,,,,,,26,24,
1998-06-01,1998,6,22.50,24.30,22.20,24.40,564.40,31.30,33.60,30.00,33.90,877.20,,,,,,24,27,
1998-07-01,1998,7,22.00,23.50,21.80,24.00,619.10,30.60,33.50,28.90,33.70,862.20,,,,,,27,27,
1998-08-01,1998,8,22.50,23.80,22.20,24.80,556.70,29.60,32.20,28.40,32.90,745.70,,,,,,24,24,
1998-09-01,1998,9,,,,,,29.70,32.80,28.00,33.60,662.10,,,,,,,21,
1998-10-01,1998,10,22.80,24.80,22.20,24.80,590.60,29.40,33.00,27.60,33.80,723.00,,,,,,25,23,
1998-12-01,1998,12,,,,,,29.00,31.60,27.00,32.60,699.50,,,,,,,23,
1999-02-01,1999,2,,,,,,28.60,31.60,26.60,32.00,757.40,,,,,,,25,
1999-04-01,1999,4,,,,,,31.40,34.00,29.80,34.30,751.40,,,,,,,23,
1999-08-01,1999,8,22.00,23.50,21.60,25.00,550.00,,,,,,,,,,,24,,
1999-09-01,1999,9,,,,,,30.00,33.00,26.80,34.60,724.60,,,,,,,23,
2002-03-01,2002,3,,,,,,30.00,32.60,28.40,33.00,788.20,,,,,,,25,
2002-07-01,2002,7,21.40,24.00,20.90,24.40,508.20,,,,,,,,,,,22,,
2002-09-01,2002,9,22.30,23.60,21.80,24.00,484.00,,,,,,,,,,,21,,
2003-04-01,2003,4,23.10,24.00,22.70,24.60,543.80,,,,,,,,,,,23,,
2003-05-01,2003,5,23.30,24.60,23.00,25.00,646.70,,,,,,,,,,,27,,
2003-07-01,2003,7,21.90,24.00,20.50,25.00,548.60,29.00,33.00,27.60,33.40,728.00,,,,,,24,23,
2003-08-01,2003,8,22.60,24.40,22.20,24.50,587.80,31.00,34.00,29.00,34.40,781.00,,,,,,25,24,
2003-12-01,2003,12,,,,,,26.60,31.00,25.20,31.60,701.10,,,,,,,24,
2004-01-01,2004,1,22.00,23.20,21.80,24.00,502.30,25.00,31.00,24.40,31.20,716.50,,,,,,22,25,
2004-02-01,2004,2,21.30,23.40,21.00,24.00,583.60,27.50,31.50,26.80,32.40,729.20,,,,,,26,24,
2004-03-01,2004,3,20.60,24.00,20.20,24.40,640.70,29.00,33.00,28.00,33.20,715.20,,,,,,28,23,
2004-04-01,2004,4,22.20,23.80,21.90,24.00,554.00,,,,,,,,,,,24,,
2004-05-01,2004,5,23.00,24.60,22.40,24.60,549.00,,,,,,,,,,,23,,
2004-06-01,2004,6,,,,,,32.10,34.60,29.40,34.70,701.20,,,,,,,21,
2004-08-01,2004,8,22.00,24.20,21.20,24.80,505.30,32.40,34.60,31.00,35.20,735.50,,,,,,22,22,
2004-09-01,2004,9,22.20,23.60,20.00,23.80,501.60,,,,,,,,,,,22,,
2004-10-01,2004,10,21.80,24.00,21.20,24.20,555.60,30.00,33.40,29.60,33.80,727.80,,,,,,24,23,
2004-11-01,2004,11,22.20,23.80,22.00,24.00,509.50,29.40,32.00,28.80,33.00,650.80,,,,,,22,21,
2005-01-01,2005,1,20.20,23.60,19.80,23.90,506.10,28.00,32.00,27.20,32.50,692.80,,,,,,23,23,
2006-10-01,2006,10,22.70,24.30,22.00,25.40,587.00,,,,,,,,,,,25,,
2006-11-01,2006,11,22.00,23.60,21.80,23.90,595.90,29.80,32.30,28.60,32.80,776.70,,,,,,26,25,
2006-12-01,2006,12,22.20,23.90,21.40,24.20,536.30,28.40,32.30,27.20,33.80,711.00,,,,,,23,23,
2007-01-01,2007,1,22.60,24.20,22.20,24.90,565.00,26.80,31.80,25.90,32.20,736.20,,,,,,24,25,
2007-02-01,2007,2,22.00,23.60,20.60,23.70,545.20,29.10,32.00,25.60,32.40,736.20,,,,,,24,24,
2007-04-01,2007,4,22.70,24.20,22.20,24.60,655.60,,,,,,,,,,,28,,
2007-05-01,2007,5,23.40,24.20,22.20,24.50,664.90,,,,,,,,,,,28,,
2007-06-01,2007,6,22.70,24.00,21.80,24.20,586.90,,,,,,,,,,,25,,
2007-08-01,2007,8,21.60,24.00,21.00,24.20,573.40,30.10,33.60,27.70,34.00,890.60,,,,,,25,28,
2007-09-01,2007,9,23.00,24.40,22.20,25.40,589.80,29.50,33.00,26.50,34.50,810.20,,,,,,25,26,
2007-10-01,2007,10,22.60,23.80,21.20,24.20,625.50,30.00,33.20,27.50,34.00,971.40,,,,,,27,31,
2007-11-01,2007,11,22.90,23.90,22.60,24.00,655.40,28.00,31.50,25.40,31.70,813.70,,,,,,28,27,
