DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,1.3928571428571428,6.827272727272726,-9.700000000000001,13.0,122.25,1,1
2,1.2857142857142854,6.419999999999999,-5.9,11.9,135.60714285714286,1,2
3,0.7654545454545454,6.762962962962965,-6.0,14.4,93.30357142857143,1,3
4,0.9642857142857145,6.662962962962962,-5.6000000000000005,12.100000000000001,110.51785714285714,1,4
5,1.4803571428571427,6.5924528301886784,-6.5,12.3,87.26785714285714,1,5
6,1.5672727272727278,6.553703703703701,-7.2,14.0,99.92857142857143,1,6
7,1.3517857142857144,6.643396226415094,-11.100000000000001,12.3,75.83928571428571,1,7
8,1.375,6.657407407407407,-10.600000000000001,13.100000000000001,109.9090909090909,1,8
9,0.9399999999999998,6.72037037037037,-6.2,12.600000000000001,85.18181818181819,1,9
10,0.9035714285714286,7.057407407407408,-10.700000000000001,11.9,97.14285714285714,1,10
11,1.6545454545454548,6.90925925925926,-13.9,13.200000000000001,129.64285714285714,1,11
12,1.5607142857142862,7.192452830188678,-11.5,14.200000000000001,100.39285714285714,1,12
13,1.2963636363636366,7.11111111111111,-9.4,12.600000000000001,103.30357142857143,1,13
14,1.9636363636363638,7.171698113207546,-8.0,12.600000000000001,108.5,1,14
15,1.9000000000000001,6.627777777777779,-4.0,12.600000000000001,89.26785714285714,1,15
16,1.517857142857143,6.275925925925925,-4.0,11.100000000000001,72.08928571428571,1,16
17,1.2446428571428567,6.544444444444442,-5.7,11.5,101.26785714285714,1,17
18,1.2660714285714285,6.588679245283019,-5.800000000000001,13.0,120.66071428571429,1,18
19,1.710714285714286,6.620370370370369,-5.5,11.5,111.0,1,19
20,1.4436363636363638,7.246296296296298,-10.100000000000001,12.4,77.28571428571429,1,20
21,1.7142857142857149,7.0,-9.5,11.9,123.91071428571429,1,21
22,2.176785714285714,6.972222222222222,-2.3000000000000003,13.4,81.17857142857143,1,22
23,1.8392857142857146,7.324074074074075,-3.4000000000000004,14.3,102.58928571428571,1,23
24,1.8053571428571424,6.971698113207546,-4.2,12.100000000000001,87.53571428571429,1,24
25,1.7836363636363637,6.918518518518518,-4.0,12.700000000000001,99.125,1,25
26,1.1267857142857138,6.66111111111111,-7.1000000000000005,11.100000000000001,73.58928571428571,1,26
27,0.9053571428571426,6.807407407407408,-10.200000000000001,11.700000000000001,70.5,1,27
28,0.8857142857142858,6.696296296296297,-8.6,11.700000000000001,81.10714285714286,1,28
29,1.5857142857142856,6.6296296296296315,-5.1000000000000005,11.5,75.875,1,29
30,1.2642857142857145,6.4781818181818185,-7.1000000000000005,12.100000000000001,98.46428571428571,1,30
31,1.3303571428571428,7.3592592592592565,-6.5,12.3,98.08928571428571,1,31
32,1.410714285714285,7.427777777777779,-6.800000000000001,12.8,85.28571428571429,2,1
33,1.8581818181818186,7.433333333333335,-6.0,13.8,101.03571428571429,2,2
34,1.817857142857142,7.587037037037036,-6.0,12.700000000000001,91.17857142857143,2,3
35,2.025454545454545,7.140740740740743,-5.7,11.5,95.28571428571429,2,4
36,1.7624999999999997,7.135185185185184,-6.0,11.600000000000001,77.21428571428571,2,5
37,2.1428571428571432,6.731481481481483,-5.6000000000000005,12.3,83.80357142857143,2,6
38,1.5035714285714288,6.755555555555555,-5.0,12.700000000000001,82.875,2,7
39,1.2678571428571426,6.840740740740743,-5.9,12.4,90.94642857142857,2,8
40,1.0232142857142859,6.530188679245285,-6.800000000000001,12.100000000000001,78.58928571428571,2,9
41,1.0428571428571431,6.641509433962263,-5.300000000000001,13.100000000000001,74.75,2,10
42,0.9690909090909093,6.816981132075473,-6.1000000000000005,14.3,96.35714285714286,2,11
43,1.2454545454545454,6.70754716981132,-5.6000000000000005,12.5,84.44642857142857,2,12
44,1.3636363636363635,6.762264150943396,-6.1000000000000005,14.5,54.625,2,13
45,0.6727272727272727,7.09245283018868,-8.5,11.9,71.64285714285714,2,14
46,0.9363636363636364,6.933962264150942,-6.6000000000000005,11.9,65.83928571428571,2,15
47,1.0000000000000002,6.962962962962964,-9.1,11.600000000000001,70.58928571428571,2,16
48,1.2763636363636357,7.13888888888889,-7.7,12.4,78.64285714285714,2,17
49,1.4267857142857145,7.649999999999999,-5.800000000000001,12.600000000000001,75.78571428571429,2,18
50,1.2375000000000003,7.335849056603774,-5.800000000000001,11.4,96.26785714285714,2,19
51,1.5946428571428573,7.43888888888889,-6.1000000000000005,11.5,83.625,2,20
52,2.0696428571428567,7.741818181818181,-3.8000000000000003,12.700000000000001,84.42857142857143,2,21
53,1.9839285714285715,7.863636363636368,-8.3,12.3,110.10714285714286,2,22
54,1.9482142857142855,7.177358490566039,-6.9,12.200000000000001,76.26785714285714,2,23
55,2.0218181818181824,7.461818181818181,-5.2,12.700000000000001,56.964285714285715,2,24
56,1.7392857142857143,7.289090909090907,-3.8000000000000003,12.200000000000001,69.07142857142857,2,25
57,1.6107142857142855,7.949090909090906,-4.3,13.0,72.17857142857143,2,26
58,1.251785714285715,7.543636363636363,-6.0,12.100000000000001,65.08928571428571,2,27
59,1.5321428571428568,7.58727272727273,-4.9,11.0,67.375,2,28
60,2.307142857142857,8.621428571428572,-5.7,11.600000000000001,111.92857142857143,2,29
61,1.1267857142857143,7.636363636363632,-6.2,11.3,78.25,3,1
62,0.5821428571428572,7.7181818181818205,-7.4,14.9,80.0,3,2
