MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,22.013333333333335,32.0375,17.2,33.800000000000004,14.292307692307693
2,21.98,32.2125,19.8,33.800000000000004,47.39166666666667
3,22.355172413793102,32.48,20.0,35.4,29.14166666666667
4,22.303448275862067,32.580000000000005,19.5,34.2,38.388888888888886
5,22.39677419354839,32.919999999999995,19.700000000000003,34.800000000000004,78.39
6,22.035714285714285,33.083333333333336,19.0,35.2,48.333333333333336
7,21.54666666666667,32.96153846153846,14.5,34.800000000000004,49.388888888888886
8,21.196774193548393,33.65833333333334,12.3,35.4,34.65714285714286
9,21.443749999999998,33.7423076923077,16.400000000000002,35.7,37.75
10,21.634482758620685,33.06666666666667,17.400000000000002,38.1,53.900000000000006
11,22.337931034482757,32.748000000000005,19.200000000000003,37.4,24.479999999999997
12,22.41724137931035,32.30833333333333,20.0,42.6,18.37
