MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,4.764444444444445,29.193333333333328,0.5,33.6,13.377777777777778
2,6.104347826086956,30.595652173913045,1.0,35.5,7.706521739130436
3,7.74,32.74,2.5,38.0,3.873333333333333
4,10.206666666666667,34.69777777777778,5.0,39.0,3.4600000000000004
5,12.220930232558139,35.465116279069754,5.4,40.400000000000006,24.979069767441864
6,14.56279069767442,34.753488372093024,9.0,40.5,94.4790697674419
7,13.877777777777775,31.04666666666666,7.7,35.2,138.40444444444447
8,13.682978723404256,30.636170212765958,7.4,35.5,127.25531914893614
9,13.058695652173913,30.708695652173912,7.5,34.6,89.18478260869567
10,10.273333333333333,31.01555555555556,0.1,34.5,26.299999999999994
11,7.126530612244898,30.669387755102044,-1.0,34.800000000000004,10.336734693877553
12,5.512765957446809,29.03617021276596,-0.8,33.5,6.272340425531916
