MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-22.54509803921568,2.43921568627451,2.3449999999999998
2,-20.25098039215686,3.6431372549019603,3.6878048780487815
3,-16.299999999999997,6.711764705882356,2.7813953488372096
4,-10.286274509803924,10.139215686274511,6.659574468085107
5,-5.358,15.203999999999999,20.614285714285714
6,-0.19199999999999992,19.212000000000003,49.3530612244898
7,2.628571428571428,18.802040816326528,95.15624999999999
8,2.3306122448979596,17.814285714285713,94.86249999999997
9,-0.8469387755102041,15.934693877551018,47.72040816326531
10,-9.269387755102045,12.508163265306127,10.715555555555557
11,-16.110204081632656,5.853061224489798,2.5624999999999996
12,-20.684000000000005,3.5460000000000003,1.544736842105263
