MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-36.714285714285715,-10.467307692307688,17.562500000000004
2,-34.14999999999999,-5.516666666666667,12.349999999999998
3,-27.26607142857144,2.4462962962962966,23.991071428571438
4,-13.210714285714293,15.071698113207544,30.84821428571429
5,-4.9696428571428575,23.36981132075471,43.903571428571446
6,1.4821428571428572,26.32830188679246,79.9625
7,6.889285714285714,27.65094339622641,125.47142857142858
8,3.7767857142857153,26.057692307692303,90.45
9,-3.9509090909090916,22.300000000000008,52.66363636363637
10,-13.887272727272725,15.062264150943395,37.63272727272727
11,-26.15636363636363,2.4129629629629625,36.88363636363636
12,-34.269090909090906,-8.011538461538462,20.28
